"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
0.065919,0.1401,0.4259,0.69556,0.20315,0.77178,0.509,0.26419,0.49241,0.41957,0.77209,0.5042,0.41078,0.45718,0.48762,0.73762,0.45669,0.65997,0.36228,0.87214,21.2
0.5539,0.6185,0.74439,0.96088,0.10259,0.93067,0.7444,0.53272,0.48999,0.47273,0.60809,0.49526,0.54972,0.46696,0.52024,0.31883,0.59502,0.49022,0.65544,0.34337,21.7
0.65542,0.53516,0.7182,0.96976,0.10978,0.94762,0.69168,0.60719,0.52879,0.51302,0.54597,0.49437,0.57263,0.47964,0.52518,0.31739,0.56941,0.46424,0.64158,0.23583,21.5
0.77334,0.46146,0.6251,0.97491,0.11609,0.92504,0.72037,0.78641,0.58305,0.60412,0.33355,0.49167,0.6237,0.5263,0.52178,0.28301,0.48881,0.36111,0.65061,0.064773,21.3
0.2684,0.75533,0.34891,0.65871,0.14857,0.21575,0.94374,0.26758,0.22731,0.26695,0.77171,0.50473,0.51316,0.46274,0.48201,0.39876,0.62796,0.45558,0.72441,0.65381,20
0.54004,0.096008,0.097307,0.75735,0.17566,0.29239,0.26282,0.91584,0.71273,0.79783,0.039677,0.4849,0.64489,0.6642,0.49626,0.57108,0.12186,0.24996,0.23926,0.007847,20.1
0.28667,0.99603,0.091747,0.15044,0.11193,0.042396,0.092328,0.5305,0.45762,0.50604,0.47427,0.48566,0.55587,0.49148,0.51155,0.41502,0.36507,0.47813,0.37934,0.20013,18.7
0.078897,0.16158,0.44272,0.53234,0.17859,0.78704,0.10057,0.62872,0.72646,0.67187,0.40881,0.4967,0.48953,0.5096,0.50917,0.54853,0.53622,0.54022,0.48362,0.5165,18.2
0.89083,0.29792,0.26189,0.8592,0.15567,0.97835,0.11611,0.46163,0.72201,0.6402,0.50708,0.49199,0.4407,0.48219,0.4956,0.55013,0.46817,0.60913,0.34901,0.64552,21.5
0.50299,0.16879,0.13286,0.72951,0.13312,0.069754,0.20451,0.88927,0.69029,0.77541,0.057587,0.499,0.63644,0.63102,0.50705,0.35885,0.38119,0.23368,0.60311,0.028737,17
0.26272,0.049865,0.24314,0.71324,0.17873,0.0079619,0.42863,0.10774,0.12441,0.19348,0.83606,0.47597,0.55236,0.48893,0.46851,0.62997,0.14765,0.41846,0.26098,0.26315,16.2
0.079947,0.41727,0.66295,0.64098,0.10785,0.38349,0.42999,0.70763,0.46075,0.547,0.29848,0.48345,0.68858,0.58441,0.49808,0.46642,0.2424,0.21688,0.56074,0.0099304,15.8
0.079947,0.41727,0.66295,0.64098,0.10785,0.38349,0.42999,0.70763,0.46075,0.547,0.29848,0.48345,0.68858,0.58441,0.49808,0.46642,0.2424,0.21688,0.56074,0.0099304,15.8
0.41392,0.70199,0.080459,0.097075,0.20159,0.52825,0.34314,0.73407,0.63803,0.65748,0.27734,0.49911,0.54147,0.51375,0.51141,0.39917,0.42176,0.43026,0.45237,0.20049,17.5
0.35982,0.018063,0.15955,0.24581,0.30244,0.68471,0.01449,0.73566,0.8381,0.74108,0.44602,0.52056,0.50955,0.42124,0.55781,0.21421,0.97151,0.58047,0.95904,0.78159,11.6
0.34787,0.22862,0.43113,0.48211,0.1434,0.5579,0.49826,0.19452,0.3432,0.36819,0.68813,0.48276,0.52374,0.52319,0.47131,0.42279,0.40417,0.34672,0.63776,0.47811,17.2
0.95803,0.80147,0.0089398,0.055046,0.25356,0.32836,0.022262,0.62743,0.67942,0.67111,0.34082,0.48868,0.50142,0.52461,0.48688,0.67248,0.26402,0.56905,0.16909,0.30504,17.8
0.84312,6.3399e-07,0.01533,0.0058928,0.7182,0.83461,0.099193,0.20074,0.36704,0.29837,0.92709,0.47231,0.61361,0.33427,0.54281,0.11108,0.91824,0.43771,0.98357,0.53806,11
0.98197,8.1398e-07,0.058766,0.049481,0.70489,0.55464,0.99408,0.093905,0.037221,0.057204,0.97329,0.47605,0.70229,0.34451,0.43228,0.14144,0.923,0.33205,0.99477,0.36818,11.1
0.42903,0.51142,0.36641,0.061956,0.18219,0.57335,0.49626,0.70816,0.5736,0.62151,0.27412,0.49276,0.54593,0.50622,0.50969,0.32445,0.44299,0.382,0.53924,0.14831,14.4
0.92371,0.80522,0.53498,0.75055,0.0734,0.13623,0.4453,0.35932,0.51692,0.488,0.57029,0.51312,0.45999,0.48231,0.46305,0.56815,0.5702,0.49892,0.61327,0.78834,19.2
0.90594,0.22343,0.68227,0.7385,0.13244,0.49548,0.38776,0.84717,0.85315,0.68686,0.68063,0.4915,0.44363,0.38897,0.48982,0.66332,0.73572,0.75377,0.56116,0.91012,16
0.76236,0.48169,0.71709,0.35786,0.15811,0.14624,0.82714,0.87327,0.81958,0.60545,0.82068,0.5149,0.41746,0.32542,0.50069,0.66767,0.90119,0.72396,0.84516,0.9619,15.2
0.99695,0.53281,0.77239,0.092138,0.092536,0.083968,0.44557,0.15866,0.25303,0.45856,0.2455,0.4605,0.43651,0.70874,0.46529,0.8481,0.038262,0.33641,0.075423,0.44562,11
0.47808,0.83278,0.42063,0.70889,0.10995,0.82087,0.30375,0.32069,0.4673,0.41599,0.77234,0.49427,0.52696,0.42332,0.51735,0.30804,0.6078,0.44359,0.72162,0.40539,19.3
0.59771,0.79851,0.40734,0.78261,0.099781,0.74224,0.34664,0.28695,0.44654,0.41,0.75389,0.49208,0.52141,0.43634,0.50565,0.30039,0.61124,0.4206,0.74862,0.45648,19.3
0.073583,0.74338,0.31049,0.15594,0.24642,0.84833,0.80432,0.56446,0.51502,0.47967,0.65332,0.49601,0.50169,0.49605,0.49914,0.61442,0.5902,0.59021,0.52504,0.68816,21.6
0.24016,0.91713,0.25376,0.36786,0.16244,0.48414,0.63667,0.41405,0.40578,0.41218,0.6649,0.49919,0.51451,0.48208,0.49922,0.42727,0.58273,0.4925,0.63374,0.56536,21.2
0.11005,0.7436,0.23994,0.14153,0.24746,0.84258,0.70397,0.5815,0.55742,0.51355,0.60807,0.49821,0.49971,0.49123,0.49765,0.60316,0.57209,0.57684,0.51957,0.65581,20.7
0.16245,0.94165,0.20023,0.11756,0.2261,0.61838,0.73687,0.58167,0.45242,0.45099,0.6382,0.5013,0.54704,0.49328,0.50941,0.48379,0.63951,0.53308,0.65305,0.50549,20.2
0.19316,0.48062,0.26338,0.65786,0.12945,0.32346,0.31401,0.35741,0.47801,0.48565,0.56697,0.49344,0.46317,0.50848,0.49594,0.50445,0.48485,0.52079,0.45503,0.64822,19.5
0.24837,0.69804,0.41872,0.71009,0.14511,0.29314,0.9237,0.28424,0.24264,0.28038,0.76576,0.50383,0.51811,0.4814,0.49022,0.44916,0.5987,0.47616,0.68936,0.63019,20.1
0.089897,0.25185,0.45375,0.5908,0.16019,0.54173,0.80513,0.69875,0.62244,0.63836,0.37716,0.48499,0.48442,0.61963,0.4875,0.75253,0.29922,0.61079,0.17071,0.6322,20.9
0.10815,0.29376,0.5108,0.63953,0.16241,0.84968,0.33571,0.35325,0.55332,0.49028,0.67491,0.49646,0.43941,0.47234,0.49913,0.63137,0.50432,0.62257,0.40133,0.75586,20.9
0.57194,0.3964,0.16044,0.51523,0.22744,0.87822,0.69072,0.58107,0.60324,0.57154,0.51247,0.49357,0.49601,0.51763,0.49865,0.52611,0.61693,0.55561,0.52872,0.66321,20.4
0.29071,0.84271,0.21051,0.40572,0.1609,0.37736,0.68293,0.43738,0.41992,0.4425,0.57153,0.50129,0.50937,0.49213,0.49654,0.41908,0.5682,0.45239,0.64674,0.53805,20.4
0.29071,0.84271,0.21051,0.40572,0.1609,0.37736,0.68293,0.43738,0.41992,0.4425,0.57153,0.50129,0.50937,0.49213,0.49654,0.41908,0.5682,0.45239,0.64674,0.53805,20.4
0.42067,0.88974,0.04098,0.050012,0.31742,0.6278,0.73456,0.58735,0.48991,0.4816,0.61117,0.50043,0.51392,0.49127,0.49273,0.54606,0.57926,0.55284,0.55201,0.6074,21.5
0.49813,0.13356,0.097206,0.68885,0.19664,0.32489,0.4299,0.75398,0.63877,0.69288,0.16725,0.49431,0.55257,0.60821,0.48505,0.58623,0.28138,0.37369,0.35915,0.19394,20.5
0.096767,0.31043,0.48556,0.54006,0.16588,0.66251,0.77601,0.7019,0.62032,0.62905,0.41023,0.48262,0.49504,0.59544,0.49429,0.70504,0.33519,0.60813,0.20366,0.58682,20.7
0.51666,0.86603,0.21836,0.40359,0.1777,0.71064,0.62351,0.5589,0.5247,0.50821,0.57013,0.49851,0.51651,0.48639,0.49438,0.42994,0.62745,0.52605,0.61595,0.55954,20.8
0.11877,0.34056,0.24675,0.22919,0.24289,0.84582,0.56555,0.57159,0.61154,0.57099,0.55084,0.49638,0.46636,0.4997,0.50425,0.59183,0.55289,0.60581,0.44764,0.71154,19.4
0.10747,0.88836,0.28868,0.11021,0.23131,0.67606,0.81538,0.57977,0.45505,0.44842,0.64856,0.50023,0.53788,0.50413,0.50555,0.54494,0.62402,0.53408,0.64035,0.57253,19.7
0.83465,0.65002,0.38686,0.91142,0.095492,0.88983,0.1366,0.46834,0.67589,0.62495,0.4949,0.48803,0.46339,0.47547,0.51249,0.39719,0.53038,0.53604,0.47899,0.55041,21.6
0.28969,0.5654,0.11493,0.081852,0.32757,0.83412,0.78689,0.59994,0.5414,0.49832,0.62,0.50652,0.49883,0.47769,0.49484,0.59585,0.63807,0.57788,0.60524,0.67576,19.2
0.9294,0.3387,0.24786,0.93525,0.14826,0.67496,0.50444,0.61854,0.5031,0.53842,0.40812,0.4943,0.56948,0.5239,0.50079,0.46,0.33028,0.42694,0.39303,0.1472,20.1
0.76416,0.60148,0.22025,0.67312,0.16766,0.82864,0.29989,0.53939,0.55733,0.54051,0.53345,0.48681,0.51946,0.48465,0.52165,0.50323,0.44326,0.56056,0.36281,0.3737,20.5
0.79635,0.55327,0.10979,0.50986,0.21254,0.51747,0.76062,0.84539,0.6169,0.65982,0.31121,0.47837,0.56332,0.60698,0.51733,0.66317,0.25047,0.55822,0.15986,0.23156,20.5
0.45755,0.19767,0.14158,0.68195,0.14907,0.28555,0.28656,0.38186,0.51883,0.54615,0.43065,0.49485,0.45443,0.53428,0.48587,0.49794,0.41444,0.48313,0.42096,0.61481,19.1
0.46241,0.69884,0.091007,0.22218,0.23468,0.44669,0.61407,0.45855,0.46262,0.4606,0.60476,0.50607,0.50356,0.4779,0.49319,0.47913,0.61535,0.48723,0.65793,0.60981,19.2
0.73745,0.89205,0.040826,0.18304,0.2322,0.38337,0.40016,0.46881,0.45481,0.48423,0.54283,0.48894,0.49688,0.53704,0.49713,0.59235,0.33821,0.52254,0.32078,0.48641,21.8
0.25521,0.13066,0.25499,0.4596,0.23877,0.62477,0.66832,0.34746,0.4413,0.42776,0.66944,0.4986,0.44821,0.49143,0.49248,0.64164,0.47844,0.58726,0.40429,0.78294,19.5
0.16919,0.25922,0.25837,0.82453,0.10188,0.0014574,0.0008923,0.23085,0.52372,0.46999,0.74783,0.50416,0.45348,0.41645,0.50665,0.54652,0.73182,0.69573,0.53163,0.85649,13.7
0.10918,0.47968,0.71838,0.69912,0.11189,0.75925,0.53752,0.51165,0.54456,0.52439,0.55318,0.49787,0.50844,0.48908,0.51541,0.38587,0.6465,0.51209,0.65672,0.55313,17.8
0.13737,0.27499,0.35508,0.77848,0.10578,0.0027719,0.0022187,0.26594,0.51418,0.44652,0.77152,0.51316,0.49654,0.4064,0.52172,0.47934,0.85574,0.65297,0.74382,0.83832,12.6
0.30797,0.17591,0.26158,0.46778,0.21488,0.48112,0.71045,0.35279,0.40322,0.4133,0.64155,0.50023,0.46641,0.50179,0.48857,0.56428,0.49532,0.53903,0.47317,0.70605,18.6
0.4129,0.15186,0.26863,0.53191,0.2062,0.44892,0.74893,0.37354,0.41462,0.42151,0.63476,0.50445,0.47743,0.4918,0.49799,0.49626,0.62854,0.51917,0.6491,0.74248,17.2
0.70111,0.5155,0.18831,0.5465,0.19767,0.15837,0.98329,0.44055,0.30419,0.3377,0.69449,0.5135,0.51339,0.47032,0.46413,0.47367,0.70073,0.50033,0.74185,0.73607,19.2
0.42453,0.12818,0.30838,0.6197,0.17478,0.58955,0.40519,0.45315,0.57051,0.54565,0.53376,0.5043,0.46465,0.5049,0.49613,0.51638,0.57574,0.53141,0.5658,0.703,18.4
0.17734,0.26476,0.29456,0.15484,0.25592,0.90199,0.4419,0.61785,0.66879,0.61566,0.50787,0.49847,0.47792,0.50979,0.51511,0.57324,0.61676,0.61602,0.50836,0.70542,17.4
0.43666,0.25716,0.27769,0.59807,0.15999,0.28555,0.57716,0.34897,0.40268,0.43227,0.56711,0.5006,0.48139,0.50314,0.49306,0.42551,0.56653,0.47471,0.60492,0.63203,18
0.48144,0.16412,0.28637,0.6379,0.16606,0.2744,0.58582,0.40336,0.42227,0.45318,0.53574,0.50039,0.49775,0.50886,0.4921,0.48849,0.51142,0.47992,0.53687,0.5697,17.4
0.28628,0.9134,0.32515,0.1989,0.15714,0.59659,0.34106,0.49686,0.58114,0.52182,0.60792,0.50138,0.49407,0.4753,0.50761,0.49198,0.67238,0.52461,0.68319,0.66576,19.4
0.37528,0.49137,0.18944,0.058556,0.32165,0.9338,0.68383,0.65808,0.62007,0.57834,0.51416,0.49579,0.49754,0.53303,0.50142,0.73677,0.42606,0.59443,0.34478,0.58511,19.2
0.99827,0.38194,0.016079,0.50503,0.2938,0.36883,0.41711,0.8583,0.79159,0.67828,0.50627,0.49379,0.48209,0.49784,0.52083,0.63344,0.55274,0.66316,0.41197,0.76708,18
0.39224,0.22179,0.34136,0.52488,0.15273,0.42689,0.41432,0.47417,0.51985,0.54449,0.44372,0.4916,0.48263,0.5333,0.49904,0.50767,0.45142,0.47615,0.46032,0.53668,17.2
0.60099,0.36242,0.32175,0.54962,0.1564,0.74773,0.45533,0.47129,0.58406,0.5808,0.41922,0.4973,0.4667,0.5448,0.49111,0.502,0.47817,0.48073,0.51788,0.59407,19.2
0.7007,0.62083,0.22993,0.35274,0.21119,0.21637,0.95967,0.82167,0.58497,0.57341,0.50393,0.49096,0.51357,0.54914,0.49135,0.705,0.39916,0.5834,0.33943,0.59311,19.5
0.16865,0.28979,0.51441,0.26179,0.19724,0.76108,0.67099,0.53896,0.55425,0.52725,0.5533,0.49856,0.48742,0.50307,0.49907,0.51612,0.56688,0.5527,0.51917,0.65553,17.1
0.52373,0.74284,0.62042,0.5753,0.11392,0.68933,0.35861,0.47545,0.56763,0.51326,0.60567,0.50303,0.49553,0.46948,0.5029,0.52176,0.6232,0.55145,0.60624,0.62419,18.7
0.7761,0.49597,0.60822,0.74212,0.1224,0.6032,0.79729,0.372,0.4101,0.4266,0.5825,0.502,0.50534,0.52714,0.49187,0.45787,0.58602,0.44238,0.67128,0.61718,16.8
0.20457,0.38179,0.71161,0.29906,0.14437,0.84106,0.22737,0.51263,0.6075,0.57376,0.49444,0.49165,0.49848,0.49943,0.52263,0.46172,0.5553,0.53884,0.51181,0.50632,15.4
0.41948,0.10956,0.47153,0.28858,0.17251,0.27599,0.52589,0.96127,0.67449,0.78309,0.033399,0.49211,0.7073,0.65631,0.52712,0.24223,0.32241,0.1607,0.65126,0.0018905,13.2
0.23637,0.29463,0.55669,0.099163,0.20985,0.85224,0.47531,0.66481,0.66808,0.62995,0.43856,0.50181,0.49948,0.50565,0.51225,0.47813,0.60855,0.54176,0.57514,0.56195,15.2
0.35369,0.13823,0.58125,0.24784,0.17489,0.40274,0.55246,0.59785,0.48734,0.54678,0.3449,0.49296,0.54486,0.54935,0.51551,0.30682,0.44766,0.37347,0.57098,0.23705,14.3
0.48079,0.23803,0.66673,0.34644,0.16812,0.8555,0.46261,0.50016,0.62277,0.57296,0.48855,0.50169,0.47695,0.56948,0.48715,0.83099,0.40694,0.57239,0.32182,0.70511,18.2
0.20706,0.43833,0.7501,0.2621,0.13768,0.78822,0.35724,0.5261,0.55329,0.54534,0.47576,0.49131,0.50978,0.50468,0.51685,0.39739,0.51626,0.47916,0.5271,0.39342,15
0.42903,0.51142,0.36641,0.061956,0.18219,0.57335,0.49626,0.70816,0.5736,0.62151,0.27412,0.49276,0.54593,0.50622,0.50969,0.32445,0.44299,0.382,0.53924,0.14831,14.4
0.92371,0.80522,0.53498,0.75055,0.0734,0.13623,0.4453,0.35932,0.51692,0.488,0.57029,0.51312,0.45999,0.48231,0.46305,0.56815,0.5702,0.49892,0.61327,0.78834,19.2
0.96579,0.35772,0.22566,0.11294,0.25095,0.51916,0.40479,0.44312,0.58832,0.52864,0.59124,0.50839,0.468,0.53264,0.49565,0.77947,0.5496,0.57919,0.48057,0.8239,16
0.67149,0.14566,0.5232,0.10514,0.20294,0.43018,0.64814,0.64966,0.60771,0.59559,0.46471,0.48657,0.44752,0.44197,0.49643,0.35249,0.47418,0.52958,0.46838,0.57823,14.9
0.76236,0.48169,0.71709,0.35786,0.15811,0.14624,0.82714,0.87327,0.81958,0.60545,0.82068,0.5149,0.41746,0.32542,0.50069,0.66767,0.90119,0.72396,0.84516,0.9619,15.2
0.37818,0.4443,0.73016,0.18229,0.11693,0.39299,0.22507,0.51658,0.5577,0.54988,0.46278,0.49849,0.51892,0.46957,0.51631,0.21999,0.67554,0.42274,0.768,0.39397,13.4
0.98128,0.1753,0.38873,0.25537,0.19855,0.71857,0.34362,0.43996,0.6541,0.58895,0.48032,0.50631,0.44786,0.54282,0.50719,0.65054,0.78177,0.51669,0.75123,0.83951,13.9
0.44527,0.20577,0.69779,0.023976,0.22449,0.84374,0.43045,0.67292,0.66793,0.63883,0.37327,0.49777,0.51374,0.49552,0.50922,0.51743,0.54363,0.49699,0.51931,0.43693,13.8
0.50546,0.56247,0.94142,0.15703,0.073069,0.20035,0.30444,0.52423,0.50341,0.54491,0.39799,0.49224,0.51591,0.48788,0.50953,0.23185,0.58558,0.38856,0.71347,0.33377,11.8
0.53182,0.20943,0.95388,0.031892,0.13099,0.37035,0.59159,0.50507,0.38041,0.50405,0.29588,0.4799,0.56024,0.57573,0.50269,0.36407,0.26031,0.33874,0.42225,0.11539,11
0.59298,0.92323,0.48672,0.30802,0.095568,0.40527,0.19558,0.56026,0.63046,0.61167,0.41958,0.49622,0.49393,0.51858,0.50317,0.46617,0.56158,0.49105,0.56968,0.53743,15.7
0.37028,0.93316,0.065599,0.057485,0.37514,0.95928,0.0089179,0.032949,0.26838,0.13622,0.97382,0.51104,0.44473,0.21115,0.52392,0.3564,0.75112,0.53419,0.84751,0.63469,20.7
0.04437,0.15138,0.5405,0.70233,0.19651,0.79662,0.64028,0.2769,0.45608,0.39977,0.78215,0.49763,0.41892,0.47282,0.47888,0.75855,0.44226,0.65991,0.34473,0.85713,21.6
0.22656,0.90867,0.062242,0.040093,0.3059,0.67847,0.7043,0.60557,0.49451,0.48923,0.59932,0.49959,0.52203,0.49679,0.50444,0.54538,0.56904,0.54761,0.56353,0.5436,20.8
0.089897,0.25185,0.45375,0.5908,0.16019,0.54173,0.80513,0.69875,0.62244,0.63836,0.37716,0.48499,0.48442,0.61963,0.4875,0.75253,0.29922,0.61079,0.17071,0.6322,20.9
0.51612,0.55903,0.1377,0.68202,0.15573,0.04944,0.96399,0.29214,0.18048,0.2824,0.61001,0.49805,0.51349,0.48781,0.47307,0.43988,0.34487,0.38178,0.50085,0.40766,21
0.10841,0.27788,0.44262,0.61214,0.13486,0.41225,0.063288,0.67454,0.61773,0.6261,0.37626,0.48248,0.62149,0.54036,0.50748,0.48672,0.30806,0.34938,0.46511,0.054614,16.3
0.17639,0.057039,0.32653,0.66456,0.1951,0.018721,0.57036,0.1773,0.13639,0.20001,0.83365,0.47691,0.59427,0.46492,0.48214,0.6003,0.19996,0.41485,0.3446,0.17675,16.7
0.98173,0.98763,0.0073357,0.075006,0.28993,0.38673,0.34204,0.41774,0.39763,0.41028,0.67435,0.49432,0.53126,0.49372,0.51315,0.4362,0.51693,0.48423,0.56026,0.46981,19.7
0.90184,0.05973,0.25637,0.11649,0.38048,0.92077,0.90302,0.37874,0.59012,0.47597,0.80218,0.48575,0.33621,0.46346,0.44213,0.89203,0.53858,0.78955,0.30993,0.9928,17.6
0.37658,0.53384,0.96639,0.10119,0.11747,0.21263,0.54906,0.91752,0.86762,0.67149,0.78539,0.48472,0.36976,0.20837,0.5282,0.22722,0.85574,0.67252,0.84525,0.81764,11.1
0.83015,0.57523,0.68716,0.98081,0.095817,0.97984,0.30758,0.42002,0.60619,0.52582,0.6812,0.48993,0.4749,0.43739,0.52196,0.33783,0.65321,0.61383,0.55878,0.62716,21.5
0.081989,0.10313,0.40609,0.69268,0.21873,0.79753,0.54113,0.24816,0.46781,0.4,0.77985,0.49763,0.4036,0.45613,0.48268,0.75512,0.41871,0.64985,0.31626,0.8692,21.4
0.31516,0.82151,0.043347,0.062687,0.30506,0.69596,0.7111,0.61299,0.54379,0.53137,0.53337,0.49953,0.509,0.51251,0.49721,0.51897,0.61741,0.51881,0.62135,0.61614,21.1
0.15807,0.90906,0.3315,0.34937,0.16174,0.47136,0.6302,0.37592,0.38565,0.38499,0.71358,0.49663,0.50193,0.48946,0.49404,0.48875,0.6061,0.52167,0.61974,0.646,21.6
0.4009,0.69272,0.20336,0.63268,0.16818,0.12686,0.93775,0.2668,0.21382,0.27155,0.73456,0.50475,0.51464,0.48776,0.47667,0.43321,0.56969,0.44196,0.68614,0.62309,19.6
0.39392,0.73464,0.32904,0.75392,0.13078,0.21923,0.89984,0.32093,0.25598,0.31148,0.69043,0.50077,0.52014,0.47716,0.48519,0.40781,0.50995,0.44083,0.61304,0.49659,20.6
0.26712,0.4298,0.28801,0.77669,0.10994,0.24448,0.35893,0.40366,0.47979,0.52213,0.45178,0.49229,0.47917,0.53473,0.49538,0.50239,0.41535,0.47888,0.40747,0.53664,19.6
0.20384,0.72724,0.28946,0.42126,0.16364,0.43758,0.68353,0.4627,0.45436,0.46007,0.58748,0.49962,0.50035,0.49219,0.49119,0.51093,0.53526,0.4932,0.56202,0.59103,20.1
0.61832,0.73505,0.37459,0.72002,0.14303,0.89439,0.27245,0.50783,0.57646,0.53214,0.59372,0.49215,0.5141,0.47413,0.53143,0.42104,0.56969,0.55922,0.52473,0.46257,20.2
0.20694,0.21941,0.26273,0.55033,0.17943,0.59545,0.40591,0.41924,0.56139,0.53644,0.55101,0.49881,0.44652,0.51146,0.49193,0.62795,0.47174,0.56996,0.3912,0.74054,19.9
0.96485,0.26242,0.3786,0.98493,0.12724,0.79766,0.46908,0.79829,0.5961,0.63271,0.27382,0.49179,0.64418,0.54437,0.52823,0.37818,0.38155,0.37469,0.48581,0.040937,19.7
0.091915,0.2008,0.5759,0.65656,0.16718,0.63341,0.67072,0.24051,0.36598,0.35888,0.73724,0.49796,0.45059,0.49717,0.48772,0.6458,0.43557,0.577,0.38754,0.7679,20
0.13543,0.089244,0.52984,0.59799,0.21166,0.73151,0.81324,0.26196,0.36644,0.35747,0.74269,0.49335,0.44691,0.50896,0.48135,0.73809,0.40931,0.6045,0.31554,0.81689,20.1
0.66159,0.51298,0.45592,0.67816,0.15088,0.95544,0.29433,0.54719,0.73692,0.62035,0.60537,0.5025,0.45593,0.47279,0.50278,0.5586,0.71111,0.62471,0.60778,0.80599,20.5
0.80573,0.23579,0.26035,0.62772,0.22084,0.7374,0.81362,0.4059,0.39637,0.40154,0.61027,0.49835,0.50931,0.52093,0.4793,0.74863,0.27754,0.52322,0.27734,0.47047,21
0.33489,0.46529,0.1814,0.17476,0.20532,0.71642,0.37236,0.65807,0.65126,0.63933,0.37176,0.4964,0.49462,0.50472,0.5081,0.44419,0.55648,0.50349,0.50722,0.45796,17.2
0.24997,0.10259,0.49873,0.53826,0.18874,0.634,0.6715,0.36221,0.44193,0.4456,0.59566,0.49345,0.45789,0.53047,0.48402,0.67499,0.37051,0.54659,0.32789,0.68871,19
0.61993,0.58806,0.38572,0.54092,0.15084,0.71305,0.63293,0.49857,0.55926,0.53714,0.50659,0.50165,0.47091,0.50428,0.48778,0.5446,0.52557,0.49188,0.54548,0.63601,19.5
0.42575,0.16401,0.51382,0.46485,0.17507,0.41334,0.74364,0.44226,0.43262,0.43617,0.61437,0.50194,0.48837,0.48298,0.49787,0.44435,0.60969,0.49702,0.65133,0.63997,16.3
0.75766,0.10332,0.4219,0.54731,0.16233,0.39914,0.33892,0.46472,0.50354,0.51211,0.48082,0.5019,0.5109,0.48717,0.50071,0.43474,0.52296,0.4662,0.56183,0.45216,15.6
0.88287,0.32953,0.19515,0.10091,0.29656,0.71198,0.4471,0.56382,0.70789,0.53795,0.76126,0.51127,0.42919,0.36609,0.43952,0.73783,0.87922,0.80864,0.63994,0.95241,16.3
0.1866,0.3872,0.79428,0.32881,0.1281,0.76609,0.36883,0.49399,0.52313,0.53616,0.45355,0.48884,0.51569,0.52581,0.51698,0.38389,0.46896,0.45521,0.50991,0.3621,15.2
0.82701,0.15439,0.53877,0.32053,0.22782,0.27954,0.85508,0.46685,0.50908,0.3649,0.86252,0.53235,0.48271,0.42001,0.478,0.79929,0.8595,0.67296,0.81495,0.95706,16.3
0.66174,0.62376,0.57796,0.21626,0.15758,0.67186,0.53278,0.52059,0.60241,0.5357,0.56704,0.51373,0.49595,0.5049,0.50213,0.55437,0.79538,0.51753,0.80071,0.76137,14.2
0.50039,0.67581,0.85714,0.46134,0.10058,0.71883,0.37042,0.49293,0.59913,0.51752,0.62729,0.50914,0.49357,0.4659,0.50292,0.57572,0.75234,0.56897,0.72174,0.74512,15.2
